Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Pass,01:36:42:460,Unsuccessful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,93,45,-,-,-,-,-,-,-,-,-,-,-
Duel,01:36:44:690,Won,Air,-,-,-,Prio Hamid,3,AFC O19,48,43,-,-,-,-,-,-,-,-,-,-,-
Duel,01:36:44:690,Lost,Air,-,-,-,Lars,17,FC Emmen O19,48,43,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:36:44:730,Successful,-,-,-,-,Prio Hamid,3,AFC O19,48,44,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:36:44:850,Successful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,48,43,-,Osa okunbor,9,60,21,-,-,-,-,-,-
Foul,01:36:49:240,-,-,-,-,-,Ilias,2,FC Emmen O19,63,24,-,Osa okunbor,9,-,-,-,-,-,-,-,-
Freekick,01:36:59:240,Successful,Pass,-,-,-,Tarik Serdar,11,AFC O19,63,24,-,Noach Shenkman,6,58,25,-,-,-,-,-,-
Foul,01:37:02:870,-,-,-,-,-,Lars,17,FC Emmen O19,66,4,-,Noach Shenkman,6,-,-,-,-,-,-,-,-
Freekick,01:37:17:250,Unsuccessful,Pass,-,-,-,Tarik Serdar,11,AFC O19,66,7,-,-,-,-,-,-,-,-,-,-,-
Duel,01:37:18:920,Won,Air,-,-,-,David,4,FC Emmen O19,89,42,-,-,-,-,-,-,-,-,-,-,-
Duel,01:37:18:920,Lost,Air,-,-,-,Noach Shenkman,6,AFC O19,89,42,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:37:18:930,Unsuccessful,-,-,-,-,David,4,FC Emmen O19,89,43,-,-,-,-,-,Clearance,-,-,-,-,-
Pass,01:37:26:750,Successful,Throw-in,Regular,-,Low,Jahmani Braham,17,AFC O19,87,4,-,Osa okunbor,9,92,8,-,-,-,-,-,-
Pass,01:37:27:640,Successful,Basic,Regular,-,High,Osa okunbor,9,AFC O19,92,10,-,Jahmani Braham,17,88,3,-,-,-,-,-,-
Pass,01:37:32:530,Successful,Cross,Key,-,Medium,Jahmani Braham,17,AFC O19,98,9,-,Nicolai de Kort,15,88,42,-,-,-,-,-,-
Penalty Box Entries,01:37:33:750,-,-,-,-,-,Nicolai de Kort,15,AFC O19,88,42,-,-,-,-,-,-,Center,-,-,-,-
Shots,01:37:34:450,Off Target,In Game,-,No Goal,High,Nicolai de Kort,15,AFC O19,89,43,Right Foot,-,-,-,-,-,-,-,Top-center,-,-
Gk Distribution,01:37:54:980,Successful,-,-,-,-,Raff,3,FC Emmen O19,96,62,-,Kevin,1,96,48,-,-,Kick,-,-,-
Pass,01:37:57:510,Successful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,95,46,-,Yvarion,11,47,69,-,-,-,-,-,-
Pass,01:38:01:560,Successful,Basic,Regular,-,High,Yvarion,11,FC Emmen O19,53,68,-,Enzo,5,72,83,-,-,-,-,-,-
Off-side,01:38:04:000,-,-,-,-,-,Remiyan,9,FC Emmen O19,43,49,-,-,-,-,-,-,-,-,-,-,-
Pass,01:38:13:950,Successful,Basic,Regular,-,Low,Ilyas Kacen,16,AFC O19,23,61,-,Tarik Serdar,11,37,42,-,-,-,-,-,-
Pass,01:38:16:480,Successful,Basic,Regular,-,Medium,Tarik Serdar,11,AFC O19,35,37,-,Osa okunbor,9,43,6,-,-,-,-,-,-
Pass,01:38:19:800,Unsuccessful,Through Ball,Regular,-,Medium,Osa okunbor,9,AFC O19,47,6,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:38:22:670,Successful,-,-,-,-,Kevin,1,FC Emmen O19,81,17,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:38:22:760,Unsuccessful,Basic,Regular,-,High,Kevin,1,FC Emmen O19,80,15,-,-,-,-,-,-,-,-,-,-,-
Pass,01:38:41:950,Successful,Throw-in,Regular,-,Low,Osa okunbor,9,AFC O19,66,4,-,Tarik Serdar,11,69,10,-,-,-,-,-,-
Defensive Action,01:38:44:550,Successful,-,-,-,-,Daan,21,FC Emmen O19,68,5,-,-,-,-,-,Tackle,-,-,-,-,-
